Month Of reporting,झोन ?, प्रभागातील तपासलेली एकूण घरे ,प्रभागातील  तपासलेल्या एकूण घरांपैकी दुषित आढळलेल्या घरांची संख्या , प्रभागातील  तपासलेली एकूण भांडी , प्रभागातील  तपासलेल्या एकूण भांडी पैकी  दुषित आढळलेल्या भांड्यांची  संख्या ,HI,CI,BI
,,0,0,0,0,,,
,1 LAXMI NAGAR ZONE 1,0,0,0,0,,,
,2 DHARAMPETH ZONE 2,0,0,0,0,,,
,3 HANUMAN NAGAR ZONE 3,0,0,0,0,,,
,4 DHANTOLI ZONE 4,0,0,0,0,,,
,5 NEHARU NAGAR ZONE 5,0,0,0,0,,,
,6 GANDHIBAGH ZONE 6,0,0,0,0,,,
,7 SATRANJIPURA ZONE 7,0,0,0,0,,,
,8 LAKADGANJ ZONE 8,0,0,0,0,,,
,9 ASHI NAGAR ZONE 9,0,0,0,0,,,
,MANGALWARI ZONE 10,0,0,0,0,,,
 Total,,0,0,0,0,,,
April 2025,1 LAXMI NAGAR ZONE 1,0,0,0,0,,,
,2 DHARAMPETH ZONE 2,0,0,0,0,,,
,3 HANUMAN NAGAR ZONE 3,0,0,0,0,,,
,4 DHANTOLI ZONE 4,0,0,0,0,,,
,5 NEHARU NAGAR ZONE 5,0,0,0,0,,,
,6 GANDHIBAGH ZONE 6,0,0,0,0,,,
,7 SATRANJIPURA ZONE 7,0,0,0,0,,,
,8 LAKADGANJ ZONE 8,0,0,0,0,,,
,9 ASHI NAGAR ZONE 9,0,0,0,0,,,
,MANGALWARI ZONE 10,0,0,0,0,,,
April 2025 Total,,0,0,0,0,,,
May 2025,1 LAXMI NAGAR ZONE 1,0,0,0,0,,,
,2 DHARAMPETH ZONE 2,0,0,0,0,,,
,3 HANUMAN NAGAR ZONE 3,0,0,0,0,,,
,4 DHANTOLI ZONE 4,0,0,0,0,,,
,5 NEHARU NAGAR ZONE 5,0,0,0,0,,,
,6 GANDHIBAGH ZONE 6,0,0,0,0,,,
