Disease,NAME OF ZONE,PRABHAG,HIGH RISK AREA For Dengue,HIGH RISK AREA For Chikungunya
Dengue,Laxminagar Zone No. 1,Prabhag 16,"Laxmi Nagar, Chatrapati nagar","Laxmi Nagar, Chatrapati nagar"
Dengue,Laxminagar Zone No. 1,Prabhag 36,"Sonegaon, Subhash Nagar, Sneh Nagar","KT Nagar, Sonegaon, Trimurti nagar"
Dengue,Laxminagar Zone No. 1,Prabhag 37,Pratap Nagar,"Gopal, nagar, Lokhande Nagar, Subhash nagar"
Dengue,Laxminagar Zone No. 1,Prabhag 38,"Jaitala, Shivangaon","Jaitala, Pratap Nagar"
Dengue,Dharampeth Zone No. 2,Prabhag 12,"Surendragad, Jagruti Colony, Katol Road","Surendragarh, Seminary Hills, Gittikhadan
 Deepak nagar, Friends colony, Katol road"
Dengue,Dharampeth Zone No. 2,Prabhag 13,"VNIT Campus, Futala,","VNIT Campus, Futala,"
Dengue,Dharampeth Zone No. 2,Prabhag 14,"Ravi Nagar, Gittikhadan, Seminary Hills","Dashrath nagar, Gittikhadan, Datta Nagar Gandhi, Telangkhedi, Civil line, Ravi Nagar Layout"
Dengue,Dharampeth Zone No. 2,Prabhag 15,"Shankar nagar, Ramdaspeth, Gawlipura, Dharampeth","Shankar nagar, Ramdaspeth, Gawlipura, Dharampeth"
Dengue,Hanumannagar Zone No. 3,Prabbhag 29,"Hudkeshwar, New Narsala","Hudkeshwar, New Narsala"
Dengue,Hanumannagar Zone No. 3,Prabbhag 31,"Hanuman Nagar, Raghuji Nagar, Chandan Nagar","Hanuman Nagar, Raghuji Nagar, Chandan Nagar"
Dengue,Hanumannagar Zone No. 3,Prabbhag 32,Juns Subhedar Layout,Rukhmini Nagar
Dengue,Hanumannagar Zone No. 3,Prabbhag 34,"Amar Nagar, Alankar Nagar, Manewada","Amar Nagar, Alankar Nagar, Manewada"
Dengue,Dhantoli Zone No. 4,Prabhag 17,"Ajni, Ganeshpeth","Ajni, Ganeshpeth"
Dengue,Dhantoli Zone No. 4,Prabhag 33,"Rameshwari, Kukde Layout, Babulkheda","Rameshwari, Kukde Layout, Babulkheda"
Dengue,Dhantoli Zone No. 4,Prabhag 35,"Manish Nagar, Chinchbhavan","Manish Nagar, Chinchbhavan"
Dengue,Nehru Nagar Zone No. 5,Prabhag 26,"Vaishno Devi Nagar, Sangharsh Nagar Wathoda","Vaishno Devi Nagar, Sangharsh Nagar Wathoda"
Dengue,Nehru Nagar Zone No. 5,Prabhag 27,"Nandavan, Jagnade Chowk","Nandavan, Jagnade Chowk"
Dengue,Nehru Nagar Zone No. 5,Prabhag 28,Nirmal Nagri Umred Road,Nirmal Nagri Umred Road
Dengue,Nehru Nagar Zone No. 5,Prabhag 30,"Auliya Nagar, Umred Road, Bidipeth","Ashirwad Nagar, Bidipeth"
Dengue,Gandhibagh Zone No. 6,Prabhag 8,"Bhankheda, Mominpura","Bhankheda, Mominpura"
Dengue,Gandhibagh Zone No. 6,Prabhag 18,"Mahal, Gadikhana , Karnal Bag ,Chitnispura","Mahal, Gadikhana , Karnal Bag ,Chitnispura"
Dengue,Gandhibagh Zone No. 6,Prabhag 19,"Hansapuri, Gandhi Putla","Hansapuri, Gandhi Putla"
Dengue,Gandhibagh Zone No. 6,Prabhag 22,"Bhuteshwar Nagar, Telipura, Juni Mangalwari","Bhuteshwar Nagar, Telipura, Juni Mangalwari"
Dengue,Satranjipura Zone No. 7,Prabhag 5,"Kawrapeth, Kanji House","Binaki, Kawrapeth"
Dengue,Satranjipura Zone No. 7,Prabhag 20,"Tandapeth, Naik Talav","Jagnath Budhwari, Bangalipunja, Dhiwarpura"
Dengue,Satranjipura Zone No. 7,Prabhag 21,Shantinagar,"Itawari Station, Satranjipura, Shantinagar"
Dengue,Lakadganj Zone No. 8,Prabhag 4,"Kalmana Road, Bharatwada","Kalmana, Talmale Layout, Bharatwada"
Dengue,Lakadganj Zone No. 8,Prabhag 23,"Deshpande Layout, Lakadganj, Wardhaman Nagar","VMV College, Hiwari Nagar, Ambedkar Chowk"
Dengue,Lakadganj Zone No. 8,Prabhag 24,"Kampthi Road, Bharatwada",Nil
Dengue,Lakadganj Zone No. 8,Prabhag 25,"Pardi, Navin Nagar","Netaji Nagar, Pardi, Bhandewadi, Gangabagh"
Dengue,Ashinagar Zone No. 9,Prabhag 2,"Shende nagar, Kapil nagar, Mhada colony, Nari","Shende Nagar, Sumedh Nagar, Patankar Chowk"
Dengue,Ashinagar Zone No. 9,Prabhag 3,Yashodhara Nagar,"Uppalwadi, Ramai Nagar, Sangharsh Nagar"
Dengue,Ashinagar Zone No. 9,Prabhag 6,"Vaishali nagar, Garib nawaz","Yadav Nagar, Buddha Nagar, Tarkeshwar Nagar"
Dengue,Ashinagar Zone No. 9,Prabhag 7,Kamal Chowk,"Panchpaoli, Republican Nagar, Nava Nakasha"
Dengue,Mangalwari Zone No. 10,Prabhag 1,"Jaripatka, Jamtha","Jaripatka, Nara Road, Vishwas Nagar"
Dengue,Mangalwari Zone No. 10,Prabhag 9,Kadbi Chowk,"Mecosabagh, Mohan Nagar"
Dengue,Mangalwari Zone No. 10,Prabhag 10,"Ekta Nagar, Borgaon, Baba Farid Nagar","Patel nagar, Borgaon"
Dengue,Mangalwari Zone No. 10,Prabhag 11,"Gorewada, Zingabai Takli","Bhupesh nagar, Gorewada road"
